ID                            : ACCESS,    TYPE,  CNT,     MIN,           MAX,   STEP,      DEFAULT
EP/MODE3/WORK/V_ITERATION     :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE3/WORK/H_MAX           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,        45.00
EP/MODE3/WORK/H_MIN           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,        15.60
EP/MODE3/WORK/D_TRES          :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,        48.50
EP/MODE3/WORK/BOT_MEASURE_PERIOD:    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE3/WORK/BW              :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            1
EP/MODE3/FREQ_FILTER_SIZE     :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE3/DEPTH_FILTER_SIZE    :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE4/NAME_MODE            :    RWA,  STRING,   20,     N/A,           N/A,    N/A,  Mode4-Abs_4
EP/MODE4/VERSION              :      R,  UINT16,    1,    0.00,      65535.00,   1.00,          256
EP/MODE4/CODE_ZI              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,            0
EP/MODE4/MODE_ID              :      R,   UINT8,    1,    0.00,        255.00,   1.00,            3
EP/MODE4/CHPK                 :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE4/GZI_MODE             :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            0
EP/MODE4/GZI_M                :    RWA,  UINT32,    1,    0.00,     524287.00,   1.00,        76960
EP/MODE4/GZI_N                :    RWA,  UINT32,    1,    0.00,       2047.00,   1.00,            0
EP/MODE4/GZI_Z                :    RWA,  UINT16,    1,   10.00,       1000.00,   1.00,           30
EP/MODE4/GZI_P                :    RWA,  UINT16,    1,    0.00,     131071.00,   1.00,        17045
EP/MODE4/NUM_SAMPLE           :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,        10499
EP/MODE4/T_ZI                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         1420
EP/MODE4/T_DZ                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         2840
EP/MODE4/T_WT                 :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         2840
EP/MODE4/SIZE_BD              :    RWA,  UINT16,    1,    0.00,       1500.00,   1.00,          355
EP/MODE4/T_ADJ                :    RWA,  UINT16,    1,    0.00,       1000.00,   1.00,           20
EP/MODE4/AKF_SIZE             :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         1380
EP/MODE4/AKF_TDELAY           :    RWA,  UINT16,    1,    0.00,       5000.00,   1.00,         1200
EP/MODE4/AKF_SHIFT            :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,           11
EP/MODE4/BD_WORK              :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,        10499
EP/MODE4/BD_TRES              :    RWA,  UINT32,    1,    0.00, 4294967296.00,   1.00,       203571
EP/MODE4/BD_MAX               :    RWA,  UINT16,    1,    0.00,      65535.00,   1.00,        10355
EP/MODE4/GAIN_0               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,         0.00
EP/MODE4/GAIN_1               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        25.00
EP/MODE4/GAIN_2               :    RWA,   FLOAT,    1,    0.00,       1000.00,   0.00,        15.00
EP/MODE4/WORK/BOT_ITERATION   :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            7
EP/MODE4/WORK/V_ITERATION     :    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE4/WORK/H_MAX           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,       105.00
EP/MODE4/WORK/H_MIN           :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,        39.00
EP/MODE4/WORK/D_TRES          :    RWA,   FLOAT,    1,    0.00,        500.00,   0.00,       121.24
EP/MODE4/WORK/BOT_MEASURE_PERIOD:    RWA,   UINT8,    1,    0.00,        255.00,   1.00,            0
EP/MODE4/WORK/BW              :    RWA,   UINT8,    1,    0.00,          1.00,   1.00,            1
EP/MODE4/FREQ_FILTER_SIZE     :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
EP/MODE4/DEPTH_FILTER_SIZE    :    RWA,  UINT16,    1,    0.00,        100.00,   1.00,            5
